parent_id,sku,width,height,length,weight,regular_price,type,featured,stock_status,backorders,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s),Attribute 3 name,Attribute 3 value(s),Attribute 4 name,Attribute 4 value(s),Attribute 5 name,Attribute 5 value(s)
HPICS,HPICS201N4B,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,Buna
HPICS,HPICS301N4B,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,Buna
HPICS,HPICS101F4B,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,Buna
HPICS,HPICS201F4B,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,Buna
HPICS,HPICS301F4B,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,Buna
HPICS,HPICS101T4B,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Buna
HPICS,HPICS201T4B,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Buna
HPICS,HPICS301T4B,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Buna
HPICS,HPICS101N6S,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,Silicone
HPICS,HPICS201N6S,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,Silicone
HPICS,HPICS301N6S,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,NPT,Material,316SS,Gasket,Silicone
HPICS,HPICS101F6S,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,Silicone
HPICS,HPICS201F6S,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,Silicone
HPICS,HPICS301F6S,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Flange,Material,316SS,Gasket,Silicone
HPICS,HPICS101T6S,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,Silicone
HPICS,HPICS201T6S,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,Silicone
HPICS,HPICS301T6S,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Tri-Clamp,Material,316SS,Gasket,Silicone
HPICS,HPICS101N4S,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,Silicone
HPICS,HPICS201N4S,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,Silicone
HPICS,HPICS301N4S,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,NPT,Material,304SS,Gasket,Silicone
HPICS,HPICS101F4S,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,Silicone
HPICS,HPICS201F4S,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,Silicone
HPICS,HPICS301F4S,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Flange,Material,304SS,Gasket,Silicone
HPICS,HPICS101T4S,,,,,,variation,0,0,notify,Cartridge Length,10,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Silicone
HPICS,HPICS201T4S,,,,,,variation,0,0,notify,Cartridge Length,20,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Silicone
HPICS,HPICS301T4S,,,,,,variation,0,0,notify,Cartridge Length,30,Connection Size,1,Connection Type,Tri-Clamp,Material,304SS,Gasket,Silicone
